id,tema,objeto_aritmetico,objeto_dinamico,papel_hipotetico,formula_aritmetica,formula_dinamica,variavel_normalizacao,natureza,classes,fonte_localizacao,hipoteses,conferencia,lacuna
C01,primo ↔ órbita primitiva,primo p (Λ(p^r)=log p),não especificado,órbita periódica primitiva de uma 'dinâmica de Riemann' hipotética,termo de p em N_fl(t) = −(1/π)Σ_p Σ_m p^{−m/2} m^{−1} sin(t m log p) (BK eq. 2.6),órbitas primitivas p em N_fl(E) ~ (1/π)Σ_p Σ_m sin(mS_p/ħ − πmμ_p/2)/(m√|det(M_p^m−I)|) (BK eq. 2.9),t = E = ordenada; ħ=1 no lado 'Riemann' (BK p. 242),analogia,K6 (K1 como proposta de dinâmica),"BK SIAM 1999 p. 240 (2.6), p. 241 (2.9), p. 242 (2.14) e texto 'primes acquire a new significance, as primitive periodic orbits'; Connes p. 6 (A)",(2.6) é 'divergent but formally exact' (BK p. 240): produto de Euler fora da região de convergência; (2.9) assintótica ħ→0 para sistemas caóticos com órbitas isoladas,conferido,"nenhum sistema dinâmico definido cujas órbitas primitivas sejam indexadas por primos; (2.6) só tem sentido distribucional (plano §3.2, condicional a RH como identidade global; L-EF2)"
C02,lugar v ↔ órbita periódica (Connes),lugar finito v=p de ℚ,órbita H_v da ação de C_k no espaço de classes de adeles X; grupo de isotropia k_v^*,—,Σ_v ∫'_{k_v^*} h(u^{-1})/|1−u| d*u = distribuição de Weil (restrita a h(1)=0),"contribuição de H_v ao traço distribucional: ∫_{k_v^*} h(u^{-1})/|1−u| d*u (análogo de Guillemin-Sternberg, Connes IV (17))","módulo |·|: k_v^*, C_k → ℝ*₊; medida de Haar normalizada com covolume 1 da isotropia (Connes VI (10))",identidade condicional (formal no global; demonstrada S-local),"K3a, K3b","Connes arXiv v1 p. 26–27 (VI (5)–(16)); p. 18 (IV (16)–(17)); p. 31 (Teorema 4, S-local); p. 27: '(15)… is the distribution obtained by André Weil'","global: cálculo formal ('proceed with some faith', p. 27); S finito: Teorema 4 com corte Λ; h de suporte compacto",conferido (estrutura) + derivacao (avaliação p-ádica),"fórmula global ⇔ RH (Teorema 5 em característica positiva; análogo para ℚ). Avaliação p-ádica agora derivada (11.3b §3): Pfw∫_{ℚ_p*}F(|u|)|u|^{1/2}|1−u|^{-1}d*u = log p Σ_{m≥1} p^{−m/2}[F(p^m)+F(p^{−m})], com massa log p por camada (Connes p. 79 eq. 8) e camada unitária anulada por Pfw (p. 69 eq. 9). O objeto dinâmico não é fluxo hamiltoniano em variedade"
C03,primo ↔ geodésica primitiva (Selberg),(nenhum primo de ℚ) — análogo: 'primos' = geodésicas fechadas primitivas,geodésica fechada primitiva γ de comprimento ℓ_γ numa superfície hiperbólica compacta,—,teorema dos números primos π(x) ~ x/log x,Π(L) = ∫_1^{e^L}… ~ e^L/L ('Prime Geodesic Theorem'); Z(s)=Π_γ Π_m (1−e^{−ℓ_γ(s+m)}),comprimento ℓ em unidades de curvatura −1; λ_j = ¼ + ρ_j²,identidade demonstrada (para a superfície); analogia (com ζ),K5a,"Marklof arXiv v2 p. 32 (238), p. 33 (Teorema 5), p. 34 (251)",M compacta; Teorema 5: zeros não triviais de Z(s) em s=1 e ½ ± iρ_j,conferido,comprimentos ℓ_γ não são {log p}; nenhuma superfície conhecida com esse espectro de comprimentos (L); Z de Selberg não é ζ
C04,potência p^r ↔ repetição r,potência de primo n=p^r,não especificado,r-ésima repetição da órbita primitiva p,Λ(p^r) = log p (não log p^r); termo p^{−r/2}/r em N_fl,"repetição m: ação mS_p, período mT_p, fator 1/m em N_fl; em d_fl: A_j = T_j/(m√|det(M_j−I)|) = T_p/√|det(M_p^m−I)|",T_j = mT_p; o fator de amplitude usa o período PRIMITIVO,analogia (com identidade estrutural do fator primitivo),K6; K5a; K3,BK p. 242 (2.14) e texto 'The index m in (2.6) then labels their repetitions'; p. 243 (2.17)–(2.18) [conferido visualmente]; Marklof p. 25 (fator ℓ_γ primitivo); Connes p. 18 IV (16) (T_γ^# primitivo) e p. 86 (46),idem C01,conferido,"correspondência exige que as repetições de um mesmo objeto dinâmico existam; não especificado para ζ. Coincidência estrutural: Λ(p^r)=log p ↔ período primitivo T_p nas três fórmulas (Gutzwiller, Selberg, Connes)"
C05,frequência ↔ ação,frequência de oscilação t = r log p na variável E,não especificado,ação S_p(E) = E·T_p com T_p = log p (ħ=1): sistema 'de escala',cos(E r log p) na densidade formal (plano §3.2); período em E: 2π/(r log p) (BK (2.7)),"mS_p(E)/ħ; T_p = ∂S_p/∂E (BK (2.11)); para S_p = E T_p, T_p independente de E",convenção do instrumento e^{−iEt}: linha em t = T = r log p; FFT e^{−2πifE}: T = 2πf (plano §3.2),analogia,K6; K1,BK p. 242 (2.14) 'Dimensionless actions mS_p/ħ ⇔ mt log p' e texto sobre sistema de escala; Connes p. 6: 'S_pm(E) is up to a constant equal to m E T_γ#',"sistema de escala: trajetórias iguais para todas as energias (BK p. 242); em bilhares S_p/ħ = kL_p é linear em k, não em E",conferido,nenhum sistema com S_p(E)=E log p definido; para bilhares a linearidade vale na variável k — identificar k com E é reparametrização livre (Etapa 12)
C06,frequência medida ↔ r log p (projeto),"linhas em t = r log p, p ≤ 139, t ∈ [0,5; 5]",não especificado,—,"F_w(t) com linha (c/2)e^{iE_cT}W(t−T) + (c/2)e^{−iE_cT}W(t+T), T = r log p",—,variável E; janela Hann; FWHM = 4π/L,reprodução numérica (classe B),— (restrição N2),"RELATORIO_CONSOLIDADO §5, §9; plano §2.2 N2",acima do limite de detecção de cada bloco; zeros 1–100.000,NA,recupera estrutura aritmética da fórmula explícita; não identifica objeto dinâmico
C07,amplitude ↔ estabilidade (Gutzwiller),amplitude −log p · p^{−m/2},não especificado,órbita com expoente de instabilidade λ_p = 1 por unidade de tempo (BK) ⇔ λ_pT_p = log p por período (Connes),"A_j = −log p/p^{m/2} = −(T_j/m) exp(−T_j/2) (BK (2.18)), 'an identity rather than an asymptotic approximation'",A_j ~ T_j/(m√|det(M_j−I)|) (BK (2.17)); para órbitas longas |det(M_p^m−I)| ~ exp(mλ_pT_p) (BK (2.12)),ħ=1; normalização de λ: BK usa λ_p por unidade de tempo (λ_p=1); Connes p. 6 (A) escreve 'instability exponents λ_p = ± log p' (por período); as duas coincidem via λ_BK·T_p = λ_Connes,aproximação (exponencial assintótico do determinante) + analogia,K6,"BK p. 242 (2.12)–(2.14); p. 243 (2.17)–(2.18) [conferido visualmente] e 'first discordant feature'; Connes p. 6 (6)–(7), p. 7",ħ→0; órbitas longas (T_p grande) para (2.12),conferido,no lado quântico o exponencial aproxima o determinante; nos zeros é exato (BK p. 243). Nenhum sistema com λ_p T_p = log p para todo p
C08,amplitude exata 2×2 (matriz transversal de retorno) ↔ p^{m/2},p^{m/2},"matriz transversal de retorno (Poincaré) M de uma órbita periódica isolada, restrita à seção transversal 2D (sem as direções neutras da monodromia completa do fluxo), com autovalores reais positivos e^{±Λ}",Λ = log p (hipotético),p^{m/2},"√|det(M^m−I)| = 2 sinh(mΛ/2), para Λ>0 e m≥1; com Λ=log p: p^{m/2} − p^{−m/2} = p^{m/2}(1 − p^{−m})",Λ = expoente por período (log do autovalor expansor da matriz transversal); Selberg: Λ = ℓ_γ,identidade demonstrada (álgebra elementar) + analogia na identificação Λ=log p,K5a; K6,"derivação: det(M^m−I) = (e^{mΛ}−1)(e^{−mΛ}−1) = 2 − 2cosh(mΛ) = −4 sinh²(mΛ/2), válida sob as hipóteses. Connes p. 7 ('2sh(mλ_p/2) ∼ p^{m/2} when m→∞…'); Connes p. 18 IV (16) ((F_{T/})_* = restrição ao transversal); Marklof p. 25 (2 sinh(nℓ_γ/2))","M = matriz transversal de retorno 2×2 (não a monodromia completa do fluxo, que inclui direções neutras); autovalores reais POSITIVOS e^{Λ}, e^{−Λ}, Λ>0; m ≥ 1. Não coberto: autovalores negativos −e^{±Λ}, para os quais det(M^m−I) = 2 − (−1)^m·2cosh(mΛ), logo √|det| = 2cosh(mΛ/2) para m ímpar e 2sinh(mΛ/2) para m par",derivacao,fator (1 − p^{−m}) sem contrapartida aritmética; identificação Λ = log p não realizada por sistema conhecido (L)
C09,amplitude completa Selberg ↔ Weil,−2Λ(n)n^{−1/2}g(log n) (plano §3.1),geodésica fechada: ℓ_γ g(nℓ_γ)/(2 sinh(nℓ_γ/2)),ℓ_γ = log p (hipotético),−2 log p · p^{−n/2} g(n log p),+ log p · p^{−n/2}(1 − p^{−n})^{−1} g(n log p) (se ℓ_γ = log p),mesma convenção g(t) = (1/2π)∫h(ρ)e^{−iρt}dρ (Marklof eq. 69; plano §3.1),"analogia (diferenças: sinal, fator 2 dependente de L-EF1, fator (1−p^{−n})^{−1})",K5a,"Marklof p. 25 (Teorema 4), p. 13 (69); plano §3.1; termo primo −2Λ(n)n^{−1/2}g(log n) derivado de Weil via Connes App. II (11.3b §1.2) e verificado numericamente (11.3b §1.3, B)","(H1),(H2),(H3*); M compacta",derivacao,sinal oposto e fator 2 no termo primo (agora derivados); fator (1−p^{−n})^{−1}; comprimentos reais não são log p; classe de funções-teste de Weil PC
C10,sinal negativo ↔ fase de Maslov,sinal global − do termo primo,não especificado,fases de Maslov πmμ_p/2 com valor π para todas as órbitas (BK),"−(1/π)Σ… (BK (2.6)); coeficiente c(p,r) = −log p/(π p^{r/2}) (plano §3.2)",sin(mS_p/ħ − πmμ_p/2) (BK (2.9)),Maslov absorvido nas ações em (2.16),analogia com obstáculo registrado,K6,"BK p. 243 'Second, the negative sign… hard to understand because if the index is π for a given orbit it should be 2π for the same orbit traversed twice'; BK p. 260 (item f: explicação remetida a Connes)",—,conferido,nenhuma atribuição de Maslov consistente com repetições; obstáculo aberto
