id,classe,requisito,codigo,tipo_evidencia,fonte,localizacao,enunciado,hipoteses,argumento_aplicavel,estado
E-K1-M1,K1,M1,S,fonte (comentário) + fato padrão,Bellissard arXiv:1704.02644v1,p. 2,"A = (x̂p̂+p̂x̂)/2 é bem definido e auto-adjunto em L²(0,∞) como gerador da representação unitária fortemente contínua D(λ)f(x)=λ^{-1/2}f(x/λ) de ℝ*₊","L²(0,∞,dx); domínio do gerador pelo teorema de Stone",Stone: grupo unitário fortemente contínuo tem gerador auto-adjunto; o operador não usa os zeros,conferido
E-K1-M2,K1,M2,V,derivação elementar,—,—,A tem espectro puramente absolutamente contínuo igual a ℝ; não tem autovalores,A = −i(x d/dx + ½) no domínio de Stone,"U: L²(ℝ₊,dx)→L²(ℝ,du), (Uf)(u)=e^{u/2}f(e^u), é unitária; se g=Uf então g'(u)=e^{u/2}(f/2 + x f')|_{x=e^u}, logo U A U⁻¹ = −i d/du em H¹(ℝ); pela transformada de Fourier é multiplicação por k, espectro a.c. ℝ. Sem autovalores, o espectro não pode ser o conjunto discreto {γ}",derivação escrita; conferir em 11.3b
E-K1-M3,K1,M3,P,fonte,Berry-Keating 1999 SIAM Rev. 41,p. 261,"Com truncamento em X e P, ⟨N(E)⟩ reproduz a assintótica suave dos zeros incluindo 7/8; o movimento de XP é ilimitado e não dá energias discretas",regularização semiclássica por células de Planck,heurístico; não é operador,conferido
E-K2b-M2,K2b,M2,P,fonte,Sierra arXiv:0712.0705v1,p. 4; p. 30-31 (eq. 7.46-7.48),"Com suposições adicionais, os zeros na linha crítica são estados ligados; não se exclui zeros fora da linha; Z(t)=2ρ(t)cos(πn(t)) sujeito a polos de ρ",funções de fronteira obtidas da fórmula de Riemann-Siegel de ζ,construção usa ζ; suposições adicionais,conferido
E-K2b-esp,K2b,espectro,—,fonte,Sierra arXiv:0712.0705v1,p. 18; p. 25,Espectro genérico: contínuo sobre ℝ com estados ligados imersos nos zeros de F(E); com fronteiras BK os zeros médios são assintoticamente estados ligados ou ressonâncias,modelo (3.5),—,conferido
E-K2c-M3,K2c,M3,P,fonte,Sierra-Townsend arXiv:0805.4079v2,p. 1,O modelo de absorção de Connes emerge como limite do nível de Landau mais baixo; papel dos níveis superiores sugerido,partícula carregada no plano com potencial e campo uniforme,—,conferido
E-K2d-M1,K2d,M1,L,"fontes (artigo, comentário, réplica)",BBM arXiv:1608.03679v4; Bellissard arXiv:1704.02644v1; réplica arXiv:1705.06767v1,BBM p. 1; Bellissard p. 2-3; réplica p. 1-2,"BBM: Ĥ não hermitiano convencionalmente; realidade não provada. Bellissard: p̂ em L²(0,∞) com ψ(0)=0 tem índices (1,0), sem extensão auto-adjunta; ψ_z ∉ L² para Re z=½. Réplica: não se afirmou realidade; argumentos em produto interno biortogonal",—,domínio e produto interno não construídos; contestação não é refutação demonstrada,conferido
E-K3a-M2,K3a,M2,C,fonte,Connes arXiv:math/9811068v1,p. 13 (Teorema 1); p. 14,"Para δ>1, Sp D_χ ⊂ iℝ = partes imaginárias dos zeros com parte real ½; multiplicidade = maior n<(1+δ)/2 com n ≤ multiplicidade; espera-se multiplicidade limitada",δ>1; espaço H quociente de L²_δ; W não unitária (eq. 22),"para δ>1 fixado, coincide com todos os zeros com multiplicidade ⇔ RH e m_ρ < (1+δ)/2 para todo ρ; um limite uniforme de multiplicidade só permitiria escolher δ",conferido
E-K3a-M4,K3a,M4,P,fonte,Connes arXiv:math/9811068v1,p. 14 (Corolário 2); p. 2 e seção VI,Trace W(h) = soma sobre zeros críticos; o caráter geométrico é cálculo formal,h ∈ S(C_k),lado geométrico formal nesta versão,conferido
E-K3b-obj,K3b,objeto espectral,—,fonte,Connes arXiv:math/9811068v1,resumo; p. 2; p. 45,Zeros críticos como espectro de absorção (linhas ausentes); não críticos como ressonâncias (potencial harmônico relativo à linha crítica),—,não é espectro de emissão; tradução para N não especificada,conferido
E-K3b-M4,K3b,M4,C,fonte,Connes arXiv:math/9811068v1,p. 31 (Teorema 4); p. 42 (Teorema 5); p. 45-47; p. 3,"Fórmula de traço S-local provada; em característica positiva, fórmula global ⇔ RH para L-funções com Grössencharakter; para ℚ descrita como análogo",Teorema 5 enunciado para k de característica positiva,para k=ℚ conferir forma exata na versão publicada,conferido (com ressalva)
E-K3b-M3,K3b,M3,P,fonte,Connes arXiv:math/9811068v1,p. 47-48 (eqs. 35-43),Contagem semiclássica com H=qp e corte Λ: ⟨N(E)⟩ aparece com sinal negativo,"regiões |q|,|p|≤Λ; funções pares",heurístico,conferido
